"name"	"SN2012hd"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003300/CBET003324.txt'>CBET 3324</a>"	"alias"	"2"
"aliases"	"SN2012hd,PSN J01140746-3239077"
"claimedtype"	"Ia"
"discoverday"	"22"
"discoverer"	"Stu Parker"
"discovermonth"	"11"
"discoveryear"	"2012"
"galdec"	"-323903"
"galra"	"011407"
"host"	"IC 1657"
"hvel"	"3552"
"maxday"	"22"
"maxmonth"	"11"
"maxyear"	"2012"
"redshift"	"0.012"
"sndec"	"-32:39:07.7"
"snra"	"01:14:07.46"
"photometry"	"timeunit"	"MJD"	"time"	"56253.5"	"abmag"	"15.4"	"source"	"2,1"
