"name"	"MASTER OT J080005.70+364436.4"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=8173'>ATEL 8173</a>"	"alias"	"2"
"aliases"	"MASTER OT J080005.70+364436.4,PS15cyi"
"claimedtype"	"IIn"
"discoverday"	"14"
"discoverer"	"MASTER"
"discovermonth"	"10"
"discoveryear"	"2015"
"host"	"PGC 2086067"
"maxday"	"14"
"maxmonth"	"10"
"maxyear"	"2015"
"redshift"	"0.03976"
"sndec"	"+36:44:36.4"
"snra"	"08:00:05.70"
"photometry"	"timeunit"	"MJD"	"time"	"57309.5"	"abmag"	"17.4"	"source"	"2,1"
