"name"	"SN2012gf"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003200/CBET003294.txt'>CBET 3294</a>"	"alias"	"2"
"aliases"	"SN2012gf,PSN J21450963+1006126"
"claimedtype"	"II"
"discoverday"	"29"
"discoverer"	"Italian Supernovae Search Project"
"discovermonth"	"10"
"discoveryear"	"2012"
"galdec"	"+100603"
"galra"	"214510"
"host"	"PGC 67294"
"hvel"	"8255"
"maxday"	"29"
"maxmonth"	"10"
"maxyear"	"2012"
"redshift"	"0.027536"
"sndec"	"+10:06:12.6"
"snra"	"21:45:09.63"
"photometry"	"timeunit"	"MJD"	"time"	"56229.5"	"abmag"	"16.8"	"source"	"2,1"
