"name"	"SN2007ox"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"Ia ?"
"discoverday"	"13"
"discoverer"	"SDSS-II"
"discovermonth"	"10"
"discoveryear"	"2007"
"galdec"	"-000418"
"galra"	"224658"
"host"	"A224658-0004"
"hvel"	"56500"
"maxday"	"22"
"maxmonth"	"10"
"maxyear"	"2007"
"redshift"	"0.21"
"sndec"	"-000418.5"
"snra"	"224658.08"
"photometry"	"timeunit"	"MJD"	"time"	"54386.0"	"band"	"g"	"abmag"	"21.7"	"source"	"1"
