"name"	"SN2001A"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET 2001"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"claimedtype"	"Ia"
"discoverday"	"15"
"discoverer"	"LOTOSS"
"discovermonth"	"12"
"discoveryear"	"2000"
"galdec"	"+054930"
"galra"	"121923"
"host"	"NGC 4261"
"hvel"	"2210"
"maxday"	"15"
"maxmonth"	"12"
"maxyear"	"2000"
"redshift"	"0.0074"
"sndec"	"+054940.5"
"snra"	"121923.01"
"photometry"	"timeunit"	"MJD"	"time"	"51893.5"	"band"	"C"	"abmag"	"18.4"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51907.5"	"band"	"C"	"abmag"	"18.8"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51910.5"	"band"	"C"	"abmag"	"18.9"	"source"	"1,2"
