"name"	"SN2011ba"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002600/CBET002682.txt'>CBET 2682</a>"	"alias"	"2"
"aliases"	"SN2011ba,PSN J08230906+1604170"
"claimedtype"	"Ia"
"discoverday"	"23"
"discoverer"	"K. Sárneczky et al."
"discovermonth"	"3"
"discoveryear"	"2011"
"galdec"	"+160417"
"galra"	"082309"
"host"	"A082309+1604"
"hvel"	"40100"
"maxday"	"23"
"maxmonth"	"3"
"maxyear"	"2011"
"redshift"	"0.144"
"sndec"	"+16:04:17.0"
"snra"	"08:23:09.06"
"photometry"	"timeunit"	"MJD"	"time"	"55643.5"	"abmag"	"19.6"	"source"	"2,1"
