"name"	"SN2012fz"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003200/CBET003285.txt'>CBET 3285</a>"	"alias"	"2"
"aliases"	"SN2012fz,PSN J20032484-5557192"
"claimedtype"	"Ia"
"discoverday"	"26"
"discoverer"	"CHASE"
"discovermonth"	"6"
"discoveryear"	"2012"
"galdec"	"-555650"
"galra"	"200327"
"host"	"ESO 185-G54"
"hvel"	"4354"
"maxday"	"26"
"maxmonth"	"6"
"maxyear"	"2012"
"redshift"	"0.015"
"sndec"	"-55:57:19.2"
"snra"	"20:03:24.84"
"photometry"	"timeunit"	"MJD"	"time"	"56104.5"	"abmag"	"14.5"	"source"	"2,1"
