"name"	"SN2013es"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003600/CBET003620.txt'>CBET 3620</a>"	"alias"	"2"
"aliases"	"SN2013es,PSN J14105017+5525240"
"claimedtype"	"II"
"discoverday"	"31"
"discoverer"	"Xing Gao et al."
"discovermonth"	"7"
"discoveryear"	"2013"
"galdec"	"+552541"
"galra"	"141050"
"host"	"A141050+5525"
"hvel"	"12870"
"maxday"	"31"
"maxmonth"	"7"
"maxyear"	"2013"
"redshift"	"0.04288"
"sndec"	"+55:25:24.0"
"snra"	"14:10:50.17"
"photometry"	"timeunit"	"MJD"	"time"	"56504.5"	"abmag"	"18.0"	"source"	"2,1"
