"name"	"SN2002ij"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"Ia"
"discoverday"	"30"
"discoverer"	"Miknaitis et al., SDSS"
"discovermonth"	"10"
"discoveryear"	"2002"
"galdec"	"+003032"
"galra"	"211737"
"host"	"A211737+0030"
"hvel"	"52600"
"maxday"	"7"
"maxmonth"	"11"
"maxyear"	"2002"
"redshift"	"0.194"
"sndec"	"+003032.4"
"snra"	"211737.64"
"photometry"	"timeunit"	"MJD"	"time"	"52577.0"	"band"	"r"	"abmag"	"21.2"	"source"	"1"
