"name"	"PSN J07225346-6202360"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/unconf/followups/J07225346-6202360.html'>CBAT TOCP</a>"	"alias"	"2"
"aliases"	"PSN J07225346-6202360,SNhunt103"
"claimedtype"	"unk"
"discoverday"	"12"
"discoverer"	"CRTS"
"discovermonth"	"2"
"discoveryear"	"2012"
"host"	"ESO 123-G9"
"maxday"	"12"
"maxmonth"	"2"
"maxyear"	"2012"
"sndec"	"-62:02:36.0"
"snra"	"07:22:53.46"
"photometry"	"timeunit"	"MJD"	"time"	"55969.5"	"abmag"	"14.4"	"source"	"2,1"
