"name"	"SN2007pj"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"Ia"
"discoverday"	"31"
"discoverer"	"SDSS-II"
"discovermonth"	"10"
"discoveryear"	"2007"
"galdec"	"+004752"
"galra"	"234910"
"host"	"A234910+0047"
"hvel"	"87400"
"maxday"	"5"
"maxmonth"	"11"
"maxyear"	"2007"
"redshift"	"0.35"
"sndec"	"+004752.4"
"snra"	"234910.70"
"photometry"	"timeunit"	"MJD"	"time"	"54404.0"	"band"	"g"	"abmag"	"22.3"	"source"	"1"
