"name"	"SN2012gx"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003300/CBET003314.txt'>CBET 3314</a>"	"alias"	"2"
"aliases"	"SN2012gx,PSN J00380175-1351395"
"claimedtype"	"Ia"
"discoverday"	"17"
"discoverer"	"CRTS"
"discovermonth"	"11"
"discoveryear"	"2012"
"galdec"	"-135158"
"galra"	"003802"
"host"	"MCG -2-2-72"
"hvel"	"4200"
"maxday"	"17"
"maxmonth"	"11"
"maxyear"	"2012"
"redshift"	"0.014"
"sndec"	"-13:51:39.5"
"snra"	"00:38:01.75"
"photometry"	"timeunit"	"MJD"	"time"	"56248.5"	"abmag"	"14.4"	"source"	"2,1"
