"name"	"SN2014ac"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003800/CBET003830.txt'>CBET 3830</a>"	"alias"	"2"
"aliases"	"SN2014ac,PSN J15044009+1237540"
"claimedtype"	"Ia"
"discoverday"	"8"
"discoverer"	"Italian Supernovae Search Project"
"discovermonth"	"3"
"discoveryear"	"2014"
"galdec"	"+123800"
"galra"	"150441"
"host"	"NGC 5837"
"hvel"	"8675"
"maxday"	"8"
"maxmonth"	"3"
"maxyear"	"2014"
"redshift"	"0.03"
"sndec"	"+12:37:54.0"
"snra"	"15:04:40.09"
"photometry"	"timeunit"	"MJD"	"time"	"56724.5"	"abmag"	"16.6"	"source"	"2,1"
