"name"	"SN2013bp"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003400/CBET003491.txt'>CBET 3491</a>"	"alias"	"2"
"aliases"	"SN2013bp,CSS130415:121905+422454"
"claimedtype"	"Ia"
"discoverday"	"14"
"discoverer"	"CRTS"
"discovermonth"	"4"
"discoveryear"	"2013"
"galdec"	"+422453"
"galra"	"121904"
"host"	"A121904+4224"
"hvel"	"22800"
"maxday"	"14"
"maxmonth"	"4"
"maxyear"	"2013"
"redshift"	"0.076"
"sndec"	"+42:24:53.8"
"snra"	"12:19:04.88"
"photometry"	"timeunit"	"MJD"	"time"	"56396.5"	"abmag"	"18.4"	"source"	"2,1"
