"name"	"SN2012Q"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002900/CBET002994.txt'>CBET 2994</a>"	"alias"	"2"
"aliases"	"SN2012Q,PSN J06462664-3653134"
"claimedtype"	"Ic"
"discoverday"	"13"
"discoverer"	"CHASE"
"discovermonth"	"1"
"discoveryear"	"2012"
"galdec"	"-365315"
"galra"	"064627"
"host"	"ESO 366-G18"
"hvel"	"9494"
"maxday"	"13"
"maxmonth"	"1"
"maxyear"	"2012"
"redshift"	"0.031669"
"sndec"	"-36:53:13.4"
"snra"	"06:46:26.64"
"photometry"	"timeunit"	"MJD"	"time"	"55939.5"	"abmag"	"17.0"	"source"	"2,1"
