"name"	"PTF13f"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=4808'>ATEL 4808</a>"	"alias"	"2"
"aliases"	"PTF13f,PS1-13cyj"
"claimedtype"	"Ia"
"discoverday"	"31"
"discoverer"	"PTF"
"discovermonth"	"1"
"discoveryear"	"2013"
"host"	"KUG 1627+385"
"maxday"	"31"
"maxmonth"	"1"
"maxyear"	"2013"
"redshift"	"0.03"
"sndec"	"+38:25:11.2"
"snra"	"16:29:26.18"
"photometry"	"timeunit"	"MJD"	"time"	"56323.5"	"abmag"	"17.3"	"source"	"2,1"
