"name"	"SN2012df"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003100/CBET003161.txt'>CBET 3161</a>"	"alias"	"2"
"aliases"	"SN2012df,PSN J17481875+5218023"
"claimedtype"	"Ia"
"discoverday"	"29"
"discoverer"	"Italian Supernovae Search Project"
"discovermonth"	"6"
"discoveryear"	"2012"
"galdec"	"+521802"
"galra"	"174818"
"host"	"A174818+5218"
"hvel"	"21000"
"maxday"	"29"
"maxmonth"	"6"
"maxyear"	"2012"
"redshift"	"0.07"
"sndec"	"+52:18:02.3"
"snra"	"17:48:18.75"
"photometry"	"timeunit"	"MJD"	"time"	"56107.5"	"abmag"	"18.2"	"source"	"2,1"
