"name"	"SN2000bi"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET 2001"	"alias"	"2"
"discoverday"	"22"
"discoverer"	"Santangelo"
"discovermonth"	"3"
"discoveryear"	"2000"
"galdec"	"+554530"
"galra"	"072133"
"host"	"A072133+5545"
"maxday"	"22"
"maxmonth"	"3"
"maxyear"	"2000"
"sndec"	"+554530.8"
"snra"	"072133.52"
"photometry"	"timeunit"	"MJD"	"time"	"51625.9"	"band"	"R"	"abmag"	"18.4"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51641.92"	"band"	"R"	"abmag"	"19.2"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51642.85"	"band"	"R"	"abmag"	"19.2"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51654.83"	"band"	"R"	"abmag"	"19.3"	"source"	"1,2"
