"name"	"SN2009ct"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/001700/CBET001754.txt'>CBET 1754</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2009ct,PTF09cu"
"claimedtype"	"II"
"discoverday"	"25"
"discoverer"	"PTF"
"discovermonth"	"3"
"discoveryear"	"2009"
"galdec"	"+462509"
"galra"	"131523"
"host"	"A131523+4625"
"hvel"	"18000"
"maxday"	"25"
"maxmonth"	"3"
"maxyear"	"2009"
"redshift"	"0.057"
"sndec"	"+46:25:09.4"
"snra"	"13:15:23.15"
"photometry"	"timeunit"	"MJD"	"time"	"54915.5"	"abmag"	"17.9"	"source"	"2,1"
