"name"	"SN2013hj"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003700/CBET003757.txt'>CBET 3757</a>"	"alias"	"2"
"source"	"name"	"LLA"	"alias"	"3"
"source"	"name"	"Enrique Díez"	"alias"	"4"
"aliases"	"SN2013hj,PS1-13eqx"
"claimedtype"	"II"
"discoverday"	"6"
"discoverer"	"CHASE"
"discovermonth"	"2"
"discoveryear"	"2013"
"galdec"	"-152552"
"galra"	"091207"
"host"	"MCG -2-24-3"
"hvel"	"2090"
"maxday"	"11"
"maxmonth"	"12"
"maxyear"	"2013"
"redshift"	"0.0069"
"sndec"	"-15:25:46.0"
"snra"	"09:12:06.29"
"photometry"	"timeunit"	"MJD"	"time"	"56329.101"	"band"	"CV"	"abmag"	"15.0"	"source"	"3,1"
"photometry"	"timeunit"	"MJD"	"time"	"56637.5"	"abmag"	"14.0"	"source"	"2,1"
"photometry"	"timeunit"	"MJD"	"time"	"56641.126"	"band"	"V"	"abmag"	"14.5"	"source"	"3,1"
"photometry"	"timeunit"	"MJD"	"time"	"56641.131"	"band"	"B"	"abmag"	"14.9"	"source"	"3,1"
"photometry"	"timeunit"	"MJD"	"time"	"56690.9252"	"band"	"CR"	"abmag"	"14.646"	"source"	"4,1"
