"name"	"PS15alr"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://star.pst.qub.ac.uk/ps1threepi/psdb/public/'>PS1 SN page</a>"	"alias"	"2"
"aliases"	"PS15alr,iPTF15asx"
"claimedtype"	"Ia"
"discoverday"	"20"
"discoverer"	"PS1"
"discovermonth"	"5"
"discoveryear"	"2015"
"maxday"	"20"
"maxmonth"	"5"
"maxyear"	"2015"
"redshift"	"0.11"
"sndec"	"+06:07:35.0"
"snra"	"12:31:26.15"
"photometry"	"timeunit"	"MJD"	"time"	"57162.5"	"abmag"	"19.3"	"source"	"2,1"
