"name"	"SNLS-03D3ay"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.aanda.org/index.php?option=com_article&amp;access=standard&amp;Itemid=129&amp;url2003/05/06'>Paper</a>"	"alias"	"2"
"aliases"	"SNLS-03D3ay"
"claimedtype"	"Ia"
"discoverday"	"5"
"discoverer"	"Supernova Legacy Project"
"discovermonth"	"5"
"discoveryear"	"2003"
"maxday"	"5"
"maxmonth"	"5"
"maxyear"	"2003"
"redshift"	"0.371"
"sndec"	"+52:28:57.63"
"snra"	"14:17:58.448"
"photometry"	"timeunit"	"MJD"	"time"	"52764.5"	"abmag"	"25.0"	"source"	"2,1"
