"name"	"MASTER OT J114655.24+660959.3"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=6379'>ATEL 6379</a>"	"alias"	"2"
"aliases"	"MASTER OT J114655.24+660959.3,GRB 140809A"
"discoverday"	"8"
"discoverer"	"MASTER"
"discovermonth"	"8"
"discoveryear"	"2014"
"host"	"MCG +11-15-3"
"maxday"	"8"
"maxmonth"	"8"
"maxyear"	"2014"
"sndec"	"+66:09:59.3"
"snra"	"11:46:55.24"
"photometry"	"timeunit"	"MJD"	"time"	"56877.5"	"abmag"	"17.0"	"source"	"2,1"
