"name"	"SN2013bi"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003400/CBET003481.txt'>CBET 3481</a>"	"alias"	"2"
"aliases"	"SN2013bi,PSN J18250198+2731537"
"claimedtype"	"IIP"
"discoverday"	"24"
"discoverer"	"Xing Gao et al."
"discovermonth"	"3"
"discoveryear"	"2013"
"galdec"	"+273207"
"galra"	"182503"
"host"	"NGC 6632"
"hvel"	"4691"
"maxday"	"24"
"maxmonth"	"3"
"maxyear"	"2013"
"redshift"	"0.016"
"sndec"	"+27:31:53.7"
"snra"	"18:25:01.98"
"photometry"	"timeunit"	"MJD"	"time"	"56375.5"	"abmag"	"15.6"	"source"	"2,1"
