"name"	"OGLE-2014-SN-155"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=6753'>ATEL 6753</a>"	"alias"	"2"
"aliases"	"OGLE-2014-SN-155,OGLE-2014-SN-162"
"discoverday"	"16"
"discoverer"	"OGLE-IV wide field survey"
"discovermonth"	"11"
"discoveryear"	"2014"
"maxday"	"16"
"maxmonth"	"11"
"maxyear"	"2014"
"sndec"	"-72:46:02.9"
"snra"	"04:10:12.96"
"photometry"	"timeunit"	"MJD"	"time"	"56977.5"	"abmag"	"19.5"	"source"	"2,1"
