"name"	"SN2011bg"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002600/CBET002689.txt'>CBET 2689</a>"	"alias"	"2"
"aliases"	"SN2011bg,PSN J11561431+2521119"
"claimedtype"	"Ia"
"discoverday"	"25"
"discoverer"	"CRTS"
"discovermonth"	"3"
"discoveryear"	"2011"
"galdec"	"+252111"
"galra"	"115614"
"host"	"A115614+2521"
"hvel"	"9660"
"maxday"	"25"
"maxmonth"	"3"
"maxyear"	"2011"
"redshift"	"0.0323"
"sndec"	"+25:21:11.8"
"snra"	"11:56:14.31"
"photometry"	"timeunit"	"MJD"	"time"	"55645.5"	"abmag"	"14.8"	"source"	"2,1"
