"name"	"SN2011jv"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002900/CBET002971.txt'>CBET 2971</a>"	"alias"	"2"
"aliases"	"SN2011jv,CSS111227:044803-040823"
"claimedtype"	"Ia"
"discoverday"	"5"
"discoverer"	"CRTS"
"discovermonth"	"1"
"discoveryear"	"2012"
"galdec"	"-040822"
"galra"	"044802"
"host"	"A044802-0408"
"hvel"	"24600"
"maxday"	"5"
"maxmonth"	"1"
"maxyear"	"2012"
"redshift"	"0.082"
"sndec"	"-04:08:22.6"
"snra"	"04:48:02.55"
"photometry"	"timeunit"	"MJD"	"time"	"55931.5"	"abmag"	"18.6"	"source"	"2,1"
