"name"	"SN2012bc"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003000/CBET003060.txt'>CBET 3060</a>"	"alias"	"2"
"aliases"	"SN2012bc,PSN J10581499-4634315"
"claimedtype"	"Ia"
"discoverday"	"2"
"discoverer"	"CHASE"
"discovermonth"	"2"
"discoveryear"	"2012"
"galdec"	"-463431"
"galra"	"105814"
"host"	"A105814-4634"
"maxday"	"2"
"maxmonth"	"2"
"maxyear"	"2012"
"sndec"	"-46:34:31.5"
"snra"	"10:58:14.99"
"photometry"	"timeunit"	"MJD"	"time"	"55959.5"	"abmag"	"17.8"	"source"	"2,1"
