"name"	"SN2012dy"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003100/CBET003197.txt'>CBET 3197</a>"	"alias"	"2"
"aliases"	"SN2012dy,PSN J21185070-5738425"
"claimedtype"	"II"
"discoverday"	"2"
"discoverer"	"Peter Marples"
"discovermonth"	"8"
"discoveryear"	"2012"
"galdec"	"-573825"
"galra"	"211851"
"host"	"ESO 145-G4"
"hvel"	"3121"
"maxday"	"2"
"maxmonth"	"8"
"maxyear"	"2012"
"redshift"	"0.0103"
"sndec"	"-57:38:42.5"
"snra"	"21:18:50.70"
"photometry"	"timeunit"	"MJD"	"time"	"56141.5"	"abmag"	"15.6"	"source"	"2,1"
