"name"	"SN2013ab"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003400/CBET003422.txt'>CBET 3422</a>"	"alias"	"2"
"source"	"name"	"Pro "	"alias"	"3"
"aliases"	"SN2013ab,PSN J14324449+0953123"
"claimedtype"	"IIP"
"discoverday"	"6"
"discoverer"	"LOSS"
"discovermonth"	"3"
"discoveryear"	"2013"
"galdec"	"+095329"
"galra"	"143244"
"host"	"NGC 5669"
"hvel"	"1338"
"maxday"	"6"
"maxmonth"	"3"
"maxyear"	"2013"
"redshift"	"0.0046"
"sndec"	"+09:53:12.3"
"snra"	"14:32:44.49"
"photometry"	"timeunit"	"MJD"	"time"	"56357.5"	"abmag"	"14.1"	"source"	"2,1"
"photometry"	"timeunit"	"MJD"	"time"	"56540.791"	"band"	"CR"	"abmag"	"17.7"	"source"	"3,1"
