"name"	"SN2007rm"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"Ia"
"discoverday"	"4"
"discoverer"	"SDSS-II"
"discovermonth"	"11"
"discoveryear"	"2007"
"galdec"	"+005152"
"galra"	"022145"
"host"	"A022145+0051"
"hvel"	"76900"
"maxday"	"18"
"maxmonth"	"11"
"maxyear"	"2007"
"redshift"	"0.3"
"sndec"	"+005152.1"
"snra"	"022145.09"
"photometry"	"timeunit"	"MJD"	"time"	"54408.0"	"band"	"g"	"abmag"	"22.7"	"source"	"1"
