"name"	"SN2006hz"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"II"
"discoverday"	"19"
"discoverer"	"SDSS-II"
"discovermonth"	"9"
"discoveryear"	"2006"
"galdec"	"-003207"
"galra"	"001241"
"host"	"A001241-0032"
"hvel"	"61200"
"maxday"	"1"
"maxmonth"	"10"
"maxyear"	"2006"
"redshift"	"0.23"
"sndec"	"-003207.7"
"snra"	"001241.00"
"photometry"	"timeunit"	"MJD"	"time"	"53997.0"	"band"	"g"	"abmag"	"21.6"	"source"	"1"
