"name"	"SN2012hp"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003300/CBET003341.txt'>CBET 3341</a>"	"alias"	"2"
"aliases"	"SN2012hp,PSN J03541733+3630387"
"claimedtype"	"Ia"
"discoverday"	"9"
"discoverer"	"CRTS"
"discovermonth"	"12"
"discoveryear"	"2012"
"galdec"	"+363031"
"galra"	"035416"
"host"	"UGC 2893"
"hvel"	"5833"
"maxday"	"9"
"maxmonth"	"12"
"maxyear"	"2012"
"redshift"	"0.019"
"sndec"	"+36:30:38.7"
"snra"	"03:54:17.33"
"photometry"	"timeunit"	"MJD"	"time"	"56270.5"	"abmag"	"16.0"	"source"	"2,1"
