"name"	"SN2010dh"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/cbet/002200/CBET002296.txt'>CBET 2296</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2010dh,CSS100509:105637+201442"
"discoverday"	"8"
"discoverer"	"CRTS"
"discovermonth"	"3"
"discoveryear"	"2010"
"galdec"	"+201445"
"galra"	"105638"
"host"	"PGC1621290"
"maxday"	"8"
"maxmonth"	"3"
"maxyear"	"2010"
"sndec"	"+20:14:41.9"
"snra"	"10:56:37.19"
"photometry"	"timeunit"	"MJD"	"time"	"55263.5"	"abmag"	"18.4"	"source"	"2,1"
