"name"	"SN2012ay"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003000/CBET003056.txt'>CBET 3056</a>"	"alias"	"2"
"aliases"	"SN2012ay,CSS120224:094326-065336"
"claimedtype"	"Ia"
"discoverday"	"27"
"discoverer"	"CRTS"
"discovermonth"	"2"
"discoveryear"	"2012"
"galdec"	"-065335"
"galra"	"094325"
"host"	"A094325-0653"
"maxday"	"27"
"maxmonth"	"2"
"maxyear"	"2012"
"sndec"	"-06:53:35.9"
"snra"	"09:43:25.71"
"photometry"	"timeunit"	"MJD"	"time"	"55984.5"	"abmag"	"18.0"	"source"	"2,1"
