"name"	"SN2011di"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002700/CBET002737.txt'>CBET 2737</a>"	"alias"	"2"
"aliases"	"SN2011di,PSN J18435900-615946"
"claimedtype"	"Ia"
"discoverday"	"12"
"discoverer"	"Berto Monard"
"discovermonth"	"5"
"discoveryear"	"2011"
"galdec"	"-615925"
"galra"	"184400"
"host"	"IC 4754"
"hvel"	"4315"
"maxday"	"12"
"maxmonth"	"5"
"maxyear"	"2011"
"redshift"	"0.0147"
"sndec"	"-61:59:46.0"
"snra"	"18:43:59.00"
"photometry"	"timeunit"	"MJD"	"time"	"55693.5"	"abmag"	"14.7"	"source"	"2,1"
