"name"	"SN2012gy"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003300/CBET003316.txt'>CBET 3316</a>"	"alias"	"2"
"aliases"	"SN2012gy,PSN J07563555+3954072"
"claimedtype"	"Ia"
"discoverday"	"20"
"discoverer"	"CRTS"
"discovermonth"	"11"
"discoveryear"	"2012"
"galdec"	"+395405"
"galra"	"073635"
"host"	"A073635+3954"
"hvel"	"20100"
"maxday"	"20"
"maxmonth"	"11"
"maxyear"	"2012"
"redshift"	"0.067"
"sndec"	"+39:54:07.2"
"snra"	"07:56:35.55"
"photometry"	"timeunit"	"MJD"	"time"	"56251.5"	"abmag"	"17.2"	"source"	"2,1"
