"name"	"SN2010R"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/cbet/002100/CBET002151.txt'>CBET 2151</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2010R,CSS100115:121710+253959"
"claimedtype"	"Ia"
"discoverday"	"14"
"discoverer"	"CRTS"
"discovermonth"	"1"
"discoveryear"	"2010"
"galdec"	"+253958"
"galra"	"121710"
"host"	"A121710+2539"
"hvel"	"23400"
"maxday"	"14"
"maxmonth"	"1"
"maxyear"	"2010"
"redshift"	"0.078"
"sndec"	"+25:39:58.7"
"snra"	"12:17:10.49"
"photometry"	"timeunit"	"MJD"	"time"	"55210.5"	"abmag"	"18.3"	"source"	"2,1"
