"name"	"SN2008en"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/cbet/001400/CBET001459.txt'>CBET 1459</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2008en,SNF20080716-005"
"claimedtype"	"IIn"
"discoverday"	"2"
"discoverer"	"Tom Boles"
"discovermonth"	"8"
"discoveryear"	"2008"
"galdec"	"+352603"
"galra"	"005514"
"host"	"UGC 564"
"hvel"	"11042"
"maxday"	"2"
"maxmonth"	"8"
"maxyear"	"2008"
"redshift"	"0.0368"
"sndec"	"+35:26:26.2"
"snra"	"00:55:13.56"
"photometry"	"timeunit"	"MJD"	"time"	"54680.5"	"abmag"	"18.3"	"source"	"2,1"
