"name"	"SN2011dd"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002700/CBET002727.txt'>CBET 2727</a>"	"alias"	"2"
"aliases"	"SN2011dd,PSN J10160965-1547351"
"claimedtype"	"IIP"
"discoverday"	"14"
"discoverer"	"CHASE"
"discovermonth"	"5"
"discoveryear"	"2011"
"galdec"	"-154728"
"galra"	"101609"
"host"	"NGC 3178"
"hvel"	"3467"
"maxday"	"14"
"maxmonth"	"5"
"maxyear"	"2011"
"redshift"	"0.0116"
"sndec"	"-15:47:35.0"
"snra"	"10:16:09.64"
"photometry"	"timeunit"	"MJD"	"time"	"55695.5"	"abmag"	"15.8"	"source"	"2,1"
