"name"	"MASTER OT J022602.32+170340.8"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=8276'>ATEL 8276</a>"	"alias"	"2"
"aliases"	"MASTER OT J022602.32+170340.8,PS15csf"
"claimedtype"	"IIP"
"discoverday"	"7"
"discoverer"	"MASTER"
"discovermonth"	"11"
"discoveryear"	"2015"
"maxday"	"7"
"maxmonth"	"11"
"maxyear"	"2015"
"redshift"	"0.021"
"sndec"	"+17:03:40.8"
"snra"	"02:26:02.32"
"photometry"	"timeunit"	"MJD"	"time"	"57333.5"	"abmag"	"17.8"	"source"	"2,1"
