"name"	"ROTSE3 J125008.3+105456"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=3438'>ATEL 3438</a>"	"alias"	"2"
"aliases"	"ROTSE3 J125008.3+105456"
"discoverday"	"21"
"discoverer"	"ROTSE"
"discovermonth"	"5"
"discoveryear"	"2011"
"maxday"	"21"
"maxmonth"	"5"
"maxyear"	"2011"
"sndec"	"+10:54:56.2"
"snra"	"12:50:08.33"
"photometry"	"timeunit"	"MJD"	"time"	"55702.5"	"abmag"	"18.0"	"source"	"2,1"
