"name"	"SN2011eo"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002700/CBET002787.txt'>CBET 2787</a>"	"alias"	"2"
"aliases"	"SN2011eo,CSS110413:164225+164928"
"claimedtype"	"IIP"
"discoverday"	"6"
"discoverer"	"CRTS"
"discovermonth"	"5"
"discoveryear"	"2011"
"galdec"	"+164928"
"galra"	"164225"
"host"	"A164225+1649"
"hvel"	"9000"
"maxday"	"6"
"maxmonth"	"5"
"maxyear"	"2011"
"redshift"	"0.03"
"sndec"	"+16:49:28.1"
"snra"	"16:42:25.12"
"photometry"	"timeunit"	"MJD"	"time"	"55687.5"	"abmag"	"17.5"	"source"	"2,1"
