"name"	"SN2001dj"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET 2001"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"claimedtype"	"II pec"
"discoverday"	"29"
"discoverer"	"LOTOSS"
"discovermonth"	"7"
"discoveryear"	"2001"
"galdec"	"+083807"
"galra"	"003758"
"host"	"NGC 180"
"hvel"	"5251"
"maxday"	"30"
"maxmonth"	"7"
"maxyear"	"2001"
"redshift"	"0.0177"
"sndec"	"+083833.0"
"snra"	"003752.22"
"photometry"	"timeunit"	"MJD"	"time"	"52119.5"	"band"	"C"	"abmag"	"17.9"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52120.5"	"band"	"C"	"abmag"	"17.7"	"source"	"1,2"
