"name"	"SN2014ee"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/004000/CBET004048.txt'>CBET 4048</a>"	"alias"	"2"
"aliases"	"SN2014ee,PSN J07591099+3254392"
"claimedtype"	"IIn"
"discoverday"	"19"
"discoverer"	"Tim Puckett et al."
"discovermonth"	"11"
"discoveryear"	"2014"
"galdec"	"+325454"
"galra"	"075913"
"host"	"UGC 4132"
"hvel"	"5210"
"maxday"	"19"
"maxmonth"	"11"
"maxyear"	"2014"
"redshift"	"0.0174"
"sndec"	"+32:54:39.2"
"snra"	"07:59:10.99"
"photometry"	"timeunit"	"MJD"	"time"	"56980.5"	"abmag"	"16.5"	"source"	"2,1"
