"name"	"PSN J09542637+4458108"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/unconf/followups/J09542637+4458108.html'>CBAT TOCP</a>"	"alias"	"2"
"aliases"	"PSN J09542637+4458108,CSS110130:095426+445811"
"claimedtype"	"unk"
"discoverday"	"29"
"discoverer"	"CRTS"
"discovermonth"	"1"
"discoveryear"	"2011"
"maxday"	"29"
"maxmonth"	"1"
"maxyear"	"2011"
"sndec"	"+44:58:10.8"
"snra"	"09:54:26.37"
"photometry"	"timeunit"	"MJD"	"time"	"55590.5"	"abmag"	"16.5"	"source"	"2,1"
