"name"	"SN2009nm"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/cbet/002100/CBET002106.txt'>CBET 2106</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2009nm,CSS091120:100525+511639"
"claimedtype"	"IIn"
"discoverday"	"19"
"discoverer"	"CRTS"
"discovermonth"	"11"
"discoveryear"	"2009"
"galdec"	"+511638"
"galra"	"100524"
"host"	"A100524+5116"
"hvel"	"56500"
"maxday"	"19"
"maxmonth"	"11"
"maxyear"	"2009"
"redshift"	"0.21"
"sndec"	"+51:16:38.7"
"snra"	"10:05:24.54"
"photometry"	"timeunit"	"MJD"	"time"	"55154.5"	"abmag"	"18.8"	"source"	"2,1"
