"name"	"OGLE-2015-SN-074"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=7318'>ATEL 7318</a>"	"alias"	"2"
"aliases"	"OGLE-2015-SN-074,Gaia15adc"
"discoverday"	"5"
"discoverer"	"OGLE-IV wide field survey"
"discovermonth"	"3"
"discoveryear"	"2015"
"maxday"	"5"
"maxmonth"	"3"
"maxyear"	"2015"
"sndec"	"-65:12:10.6"
"snra"	"03:17:28.72"
"photometry"	"timeunit"	"MJD"	"time"	"57086.5"	"abmag"	"17.6"	"source"	"2,1"
