"name"	"PSN J04135273+1703481"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/unconf/followups/J04135273+1703481.html'>CBAT TOCP</a>"	"alias"	"2"
"aliases"	"PSN J04135273+1703481,MLS111228:041353+170348"
"claimedtype"	"unk"
"discoverday"	"20"
"discoverer"	"CRTS"
"discovermonth"	"1"
"discoveryear"	"2011"
"maxday"	"20"
"maxmonth"	"1"
"maxyear"	"2011"
"sndec"	"+17:03:48.0"
"snra"	"04:13:52.72"
"photometry"	"timeunit"	"MJD"	"time"	"55581.5"	"abmag"	"17.6"	"source"	"2,1"
