"name"	"SN2014al"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003800/CBET003846.txt'>CBET 3846</a>"	"alias"	"2"
"source"	"name"	"Thomas Langhans"	"alias"	"3"
"aliases"	"SN2014al,PSN J16265528+3338244"
"claimedtype"	"Ia"
"discoverday"	"27"
"discoverer"	"MASTER"
"discovermonth"	"3"
"discoveryear"	"2014"
"galdec"	"+333823"
"galra"	"162655"
"host"	"A162655+3338"
"hvel"	"12000"
"maxday"	"27"
"maxmonth"	"3"
"maxyear"	"2014"
"redshift"	"0.04"
"sndec"	"+33:38:23.10"
"snra"	"16:26:55.31"
"photometry"	"timeunit"	"MJD"	"time"	"56743.5"	"abmag"	"16.8"	"source"	"2,1"
"photometry"	"timeunit"	"MJD"	"time"	"56754.469"	"band"	"UV"	"abmag"	"18.0"	"source"	"3,1"
"photometry"	"timeunit"	"MJD"	"time"	"56814.364"	"band"	"UV"	"abmag"	"19.8"	"source"	"3,1"
