"name"	"SN2015ay"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/004200/CBET004204.txt'>CBET 4204</a>"	"alias"	"2"
"aliases"	"SN2015ay,PSN J01094677+1318289"
"claimedtype"	"II"
"discoverday"	"7"
"discoverer"	"Xing Gao et al."
"discovermonth"	"10"
"discoveryear"	"2015"
"galdec"	"+131832"
"galra"	"010946"
"host"	"UGC 722"
"hvel"	"4219"
"maxday"	"7"
"maxmonth"	"10"
"maxyear"	"2015"
"redshift"	"0.014"
"sndec"	"+13:18:28.9"
"snra"	"01:09:46.77"
"photometry"	"timeunit"	"MJD"	"time"	"57302.5"	"abmag"	"16.7"	"source"	"2,1"
