"name"	"PSN J14352290-1343569"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/unconf/followups/J14352290-1343569.html'>CBAT TOCP</a>"	"alias"	"2"
"aliases"	"PSN J14352290-1343569,SNhunt147"
"discoverday"	"5"
"discoverer"	"CRTS"
"discovermonth"	"9"
"discoveryear"	"2012"
"host"	"UGC A 391"
"maxday"	"5"
"maxmonth"	"9"
"maxyear"	"2012"
"sndec"	"-13:43:56.9"
"snra"	"14:35:22.90"
"photometry"	"timeunit"	"MJD"	"time"	"56175.5"	"abmag"	"16.7"	"source"	"2,1"
