"name"	"SN2011gp"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002800/CBET002850.txt'>CBET 2850</a>"	"alias"	"2"
"aliases"	"SN2011gp,PSN J04390804+1131516"
"claimedtype"	"II"
"discoverday"	"30"
"discoverer"	"CRTS"
"discovermonth"	"9"
"discoveryear"	"2011"
"galdec"	"+113150"
"galra"	"043908"
"host"	"UGC 3119"
"hvel"	"7851"
"maxday"	"30"
"maxmonth"	"9"
"maxyear"	"2011"
"redshift"	"0.0262"
"sndec"	"+11:31:51.5"
"snra"	"04:39:08.03"
"photometry"	"timeunit"	"MJD"	"time"	"55834.5"	"abmag"	"18.4"	"source"	"2,1"
