"name"	"iPTF15bai"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=7629'>ATEL 7629</a>"	"alias"	"2"
"aliases"	"iPTF15bai,iPTF15bgx"
"claimedtype"	"Ia"
"discoverday"	"27"
"discoverer"	"PTF"
"discovermonth"	"5"
"discoveryear"	"2015"
"maxday"	"27"
"maxmonth"	"5"
"maxyear"	"2015"
"redshift"	"0.05"
"sndec"	"+37:19:19.9"
"snra"	"16:22:05.54"
"photometry"	"timeunit"	"MJD"	"time"	"57169.5"	"abmag"	"17.5"	"source"	"2,1"
