"name"	"SN2007qy"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"Ia"
"discoverday"	"5"
"discoverer"	"SDSS-II"
"discovermonth"	"11"
"discoveryear"	"2007"
"galdec"	"+003835"
"galra"	"015515"
"host"	"A015515+0038"
"hvel"	"63500"
"maxday"	"17"
"maxmonth"	"11"
"maxyear"	"2007"
"redshift"	"0.24"
"sndec"	"+003835.2"
"snra"	"015515.28"
"photometry"	"timeunit"	"MJD"	"time"	"54409.0"	"band"	"g"	"abmag"	"22.1"	"source"	"1"
