"name"	"Gaia15agh"
"source"	"name"	"<a href='https://gaia.ac.uk/selected-gaia-science-alerts'>Gaia Photometric Science Alerts</a>"	"alias"	"1"
"claimedtype"	"Ia"
"discoverday"	"25"
"discovermonth"	"5"
"discoveryear"	"2015"
"maxday"	"25"
"maxmonth"	"5"
"maxyear"	"2015"
"sndec"	"14.06805"
"snra"	"181.02133"
"photometry"	"timeunit"	"MJD"	"time"	"57167.059"	"band"	"G"	"instrument"	"GAIA"	"abmag"	"17.52"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"57167.235"	"band"	"G"	"instrument"	"GAIA"	"abmag"	"17.58"	"source"	"1"
