"name"	"SN2003bo"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET Oct2003"	"alias"	"2"
"discoverday"	"19"
"discoverer"	"Wood-Vasey et al."
"discovermonth"	"2"
"discoveryear"	"2003"
"galdec"	"+361821"
"galra"	"094743"
"host"	"A094743+3618"
"maxday"	"3"
"maxmonth"	"3"
"maxyear"	"2003"
"sndec"	"+361821.8"
"snra"	"094743.41"
"photometry"	"timeunit"	"MJD"	"time"	"52689.41"	"band"	"C"	"abmag"	"19.6"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52701.28"	"band"	"C"	"abmag"	"19.5"	"source"	"1,2"
