"name"	"SN2003ah"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET Oct2003"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"claimedtype"	"Ia"
"discoverday"	"8"
"discoverer"	"LOTOSS"
"discovermonth"	"2"
"discoveryear"	"2003"
"galdec"	"+004600"
"galra"	"044308"
"host"	"A044308+0046"
"hvel"	"9000"
"maxday"	"9"
"maxmonth"	"2"
"maxyear"	"2003"
"redshift"	"0.0305"
"sndec"	"+004600.4"
"snra"	"044308.54"
"photometry"	"timeunit"	"MJD"	"time"	"52678.2"	"band"	"C"	"abmag"	"17.3"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52679.2"	"band"	"C"	"abmag"	"17"	"source"	"1,2"
