"name"	"SN2005fb"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"Ia"
"discoverday"	"10"
"discoverer"	"SDSS-II"
"discovermonth"	"9"
"discoveryear"	"2005"
"galdec"	"-003838"
"galra"	"030117"
"host"	"A030117-0038"
"hvel"	"44200"
"maxday"	"16"
"maxmonth"	"9"
"maxyear"	"2005"
"redshift"	"0.16"
"sndec"	"-003838.7"
"snra"	"030117.54"
"photometry"	"timeunit"	"MJD"	"time"	"53623.0"	"band"	"g"	"abmag"	"21.2"	"source"	"1"
