"name"	"SN2014dw"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/004000/CBET004047.txt'>CBET 4047</a>"	"alias"	"2"
"source"	"name"	"Wim Cuppens"	"alias"	"3"
"aliases"	"SN2014dw,PSN J11104841-3727022"
"claimedtype"	"II"
"discoverday"	"5"
"discoverer"	"Stu Parker"
"discovermonth"	"11"
"discoveryear"	"2014"
"galdec"	"-372652"
"galra"	"111049"
"host"	"NGC 3568"
"hvel"	"2437"
"maxday"	"5"
"maxmonth"	"11"
"maxyear"	"2014"
"redshift"	"0.008152"
"sndec"	"-37:27:02.2"
"snra"	"11:10:48.41"
"photometry"	"timeunit"	"MJD"	"time"	"56966.5"	"abmag"	"15.5"	"source"	"2,1"
"photometry"	"timeunit"	"MJD"	"time"	"57046.52"	"band"	"R"	"abmag"	"16.5"	"source"	"3,1"
