"name"	"SN2011if"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002900/CBET002916.txt'>CBET 2916</a>"	"alias"	"2"
"aliases"	"SN2011if,PSN J10061104+2509015"
"claimedtype"	"II"
"discoverday"	"30"
"discoverer"	"T. Kryachko et al."
"discovermonth"	"10"
"discoveryear"	"2011"
"galdec"	"+250858"
"galra"	"100611"
"host"	"PGC 1726998"
"hvel"	"15556"
"maxday"	"30"
"maxmonth"	"10"
"maxyear"	"2011"
"redshift"	"0.0533"
"sndec"	"+25:09:01.5"
"snra"	"10:06:11.03"
"photometry"	"timeunit"	"MJD"	"time"	"55864.5"	"abmag"	"18.5"	"source"	"2,1"
