"name"	"SN2002hg"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET Oct2003"	"alias"	"2"
"claimedtype"	"II"
"discoverday"	"28"
"discoverer"	"Boles"
"discovermonth"	"10"
"discoveryear"	"2002"
"galdec"	"+123913"
"galra"	"103710"
"host"	"NGC 3306"
"hvel"	"2877"
"maxday"	"30"
"maxmonth"	"10"
"maxyear"	"2002"
"redshift"	"0.00964"
"sndec"	"+123912.8"
"snra"	"103710.60"
"photometry"	"timeunit"	"MJD"	"time"	"52575.21"	"band"	"C"	"abmag"	"17"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52576.18"	"band"	"C"	"abmag"	"17.2"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52577.54"	"band"	"R"	"abmag"	"16.7"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52579.17"	"band"	"C"	"abmag"	"17"	"source"	"1,2"
