"name"	"SN2010cf"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/cbet/002200/CBET002258.txt'>CBET 2258</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2010cf,CSS100409:152322+021901"
"discoverday"	"8"
"discoverer"	"CRTS"
"discovermonth"	"4"
"discoveryear"	"2010"
"galdec"	"+021901"
"galra"	"152321"
"host"	"A152321+0219"
"maxday"	"8"
"maxmonth"	"4"
"maxyear"	"2010"
"sndec"	"+02:19:01.0"
"snra"	"15:23:21.84"
"photometry"	"timeunit"	"MJD"	"time"	"55294.5"	"abmag"	"18.2"	"source"	"2,1"
