"name"	"SN2013hg"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003700/CBET003753.txt'>CBET 3753</a>"	"alias"	"2"
"source"	"name"	"Thomas Langhans"	"alias"	"3"
"aliases"	"SN2013hg,CSS140101:120956+295353"
"claimedtype"	"Ia"
"discoverday"	"31"
"discoverer"	"Koichi Itagaki"
"discovermonth"	"12"
"discoveryear"	"2013"
"galdec"	"+295351"
"galra"	"120955"
"host"	"A120955+2953"
"hvel"	"609"
"maxday"	"31"
"maxmonth"	"12"
"maxyear"	"2013"
"redshift"	"0.002031"
"sndec"	"+29:53:51.3"
"snra"	"12:09:55.69"
"photometry"	"timeunit"	"MJD"	"time"	"56657.5"	"abmag"	"15.2"	"source"	"2,1"
"photometry"	"timeunit"	"MJD"	"time"	"56705.358"	"band"	"UV"	"abmag"	"17.6"	"source"	"3,1"
